DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/08/2015 12:00:00 AM","4631.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/06/2016 12:00:00 AM","4623.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/10/2015 12:00:00 AM","4180.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","23/06/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/05/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","28/04/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","21/04/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/04/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/04/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","21/03/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/03/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/03/2016 12:00:00 AM","4000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/02/2016 12:00:00 AM","3890.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/03/2016 12:00:00 AM","3500.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/06/2016 12:00:00 AM","3500.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","03/02/2016 12:00:00 AM","3435.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/04/2016 12:00:00 AM","3307.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/10/2015 12:00:00 AM","3198.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/10/2015 12:00:00 AM","3039.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/04/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/05/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/05/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/05/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/06/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/06/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/02/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/02/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","14/01/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/03/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/04/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/02/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/02/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","25/02/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/02/2016 12:00:00 AM","3000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/03/2016 12:00:00 AM","2668.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","31/08/2015 12:00:00 AM","2549.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/04/2016 12:00:00 AM","2500.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/02/2016 12:00:00 AM","2412.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/10/2015 12:00:00 AM","2310.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/08/2015 12:00:00 AM","2277.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/09/2015 12:00:00 AM","2200.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/09/2015 12:00:00 AM","2000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","05/10/2015 12:00:00 AM","2000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","25/01/2016 12:00:00 AM","2000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","11/01/2016 12:00:00 AM","2000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/05/2016 12:00:00 AM","2000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","10/02/2016 12:00:00 AM","1974.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","04/09/2015 12:00:00 AM","1914.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","05/11/2015 12:00:00 AM","1832.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/02/2016 12:00:00 AM","1710.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/10/2015 12:00:00 AM","1680.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/05/2016 12:00:00 AM","1600.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","03/06/2016 12:00:00 AM","1600.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","13/06/2016 12:00:00 AM","1600.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/06/2016 12:00:00 AM","1600.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/06/2016 12:00:00 AM","1600.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/03/2016 12:00:00 AM","1588.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/09/2015 12:00:00 AM","1582.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/06/2016 12:00:00 AM","1530.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/12/2015 12:00:00 AM","1465.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","10/09/2015 12:00:00 AM","1443.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/09/2015 12:00:00 AM","1423.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/05/2016 12:00:00 AM","1416.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","09/04/2016 12:00:00 AM","1384.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","05/11/2015 12:00:00 AM","1370.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/01/2016 12:00:00 AM","1303.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/01/2016 12:00:00 AM","1261.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/11/2015 12:00:00 AM","1240.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/06/2016 12:00:00 AM","1216.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","04/04/2016 12:00:00 AM","1151.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/04/2016 12:00:00 AM","1150.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/05/2016 12:00:00 AM","1148.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/05/2016 12:00:00 AM","1148.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/03/2016 12:00:00 AM","1132.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","28/06/2016 12:00:00 AM","1106.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/06/2016 12:00:00 AM","1106.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/11/2015 12:00:00 AM","1017.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","13/09/2015 12:00:00 AM","1001.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","04/04/2016 12:00:00 AM","1000.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/02/2016 12:00:00 AM","997.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/02/2016 12:00:00 AM","997.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/02/2016 12:00:00 AM","997.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","05/05/2016 12:00:00 AM","990.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","11/03/2016 12:00:00 AM","987.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/10/2015 12:00:00 AM","978.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/04/2016 12:00:00 AM","936.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","07/12/2015 12:00:00 AM","931.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/08/2015 12:00:00 AM","924.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","09/02/2016 12:00:00 AM","907.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/11/2015 12:00:00 AM","900.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/11/2015 12:00:00 AM","900.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","25/01/2016 12:00:00 AM","898.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/05/2016 12:00:00 AM","889.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/05/2016 12:00:00 AM","889.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","23/11/2015 12:00:00 AM","882.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/10/2015 12:00:00 AM","880.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/06/2016 12:00:00 AM","858.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","05/11/2015 12:00:00 AM","844.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/01/2016 12:00:00 AM","843.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","10/10/2015 12:00:00 AM","817.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/04/2016 12:00:00 AM","801.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","13/01/2016 12:00:00 AM","798.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/05/2016 12:00:00 AM","788.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/05/2016 12:00:00 AM","788.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/08/2015 12:00:00 AM","787.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","25/01/2016 12:00:00 AM","778.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","14/12/2015 12:00:00 AM","778.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","06/05/2016 12:00:00 AM","776.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","11/05/2016 12:00:00 AM","764.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","11/05/2016 12:00:00 AM","764.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/03/2016 12:00:00 AM","754.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/02/2016 12:00:00 AM","752.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/05/2016 12:00:00 AM","738.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/01/2016 12:00:00 AM","718.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/01/2016 12:00:00 AM","714.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/12/2015 12:00:00 AM","707.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/08/2015 12:00:00 AM","703.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","05/11/2015 12:00:00 AM","703.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/05/2016 12:00:00 AM","701.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/05/2016 12:00:00 AM","701.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","05/01/2016 12:00:00 AM","696.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","31/08/2015 12:00:00 AM","678.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/04/2016 12:00:00 AM","664.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/03/2016 12:00:00 AM","663.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","07/10/2015 12:00:00 AM","662.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/10/2015 12:00:00 AM","658.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/11/2015 12:00:00 AM","656.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/06/2016 12:00:00 AM","656.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","28/11/2015 12:00:00 AM","654.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/12/2015 12:00:00 AM","649.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/02/2016 12:00:00 AM","638.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/02/2016 12:00:00 AM","637.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/05/2016 12:00:00 AM","629.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","09/10/2015 12:00:00 AM","626.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/02/2016 12:00:00 AM","606.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","23/02/2016 12:00:00 AM","605.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/10/2015 12:00:00 AM","605.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","31/08/2015 12:00:00 AM","602.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/10/2015 12:00:00 AM","600.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","09/06/2016 12:00:00 AM","600.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","11/06/2016 12:00:00 AM","593.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","10/02/2016 12:00:00 AM","590.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","04/09/2015 12:00:00 AM","585.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","13/08/2015 12:00:00 AM","566.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","13/08/2015 12:00:00 AM","566.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/03/2016 12:00:00 AM","560.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/02/2016 12:00:00 AM","559.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","20/01/2016 12:00:00 AM","557.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/05/2016 12:00:00 AM","557.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/05/2016 12:00:00 AM","557.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/05/2016 12:00:00 AM","556.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/05/2016 12:00:00 AM","556.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/03/2016 12:00:00 AM","546.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","06/08/2015 12:00:00 AM","546.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/05/2016 12:00:00 AM","543.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/05/2016 12:00:00 AM","543.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/06/2016 12:00:00 AM","543.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/12/2015 12:00:00 AM","536.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/02/2016 12:00:00 AM","533.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/02/2016 12:00:00 AM","524.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","04/09/2015 12:00:00 AM","520.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/03/2016 12:00:00 AM","516.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","29/09/2015 12:00:00 AM","510.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/03/2016 12:00:00 AM","508.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","10/08/2015 12:00:00 AM","504.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","09/02/2016 12:00:00 AM","500.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","03/03/2016 12:00:00 AM","495.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/11/2015 12:00:00 AM","493.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/11/2015 12:00:00 AM","491.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","31/10/2015 12:00:00 AM","488.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/08/2015 12:00:00 AM","475.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","12/01/2016 12:00:00 AM","469.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/01/2016 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/11/2015 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/12/2015 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/02/2016 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/03/2016 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/06/2016 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/05/2016 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/05/2016 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/04/2016 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/08/2015 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/10/2015 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/09/2015 12:00:00 AM","461.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","28/08/2015 12:00:00 AM","460.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","30/09/2015 12:00:00 AM","459.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/10/2015 12:00:00 AM","450.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/08/2015 12:00:00 AM","450.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","04/04/2016 12:00:00 AM","450.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","19/11/2015 12:00:00 AM","450.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/03/2016 12:00:00 AM","444.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/10/2015 12:00:00 AM","439.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","24/11/2015 12:00:00 AM","435.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","27/11/2015 12:00:00 AM","434.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","03/11/2015 12:00:00 AM","428.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","31/07/2015 12:00:00 AM","428.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","22/04/2016 12:00:00 AM","427.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","05/04/2016 12:00:00 AM","423.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/01/2016 12:00:00 AM","420.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","04/09/2015 12:00:00 AM","416.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/09/2015 12:00:00 AM","416.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/02/2016 12:00:00 AM","413.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/09/2015 12:00:00 AM","406.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/09/2015 12:00:00 AM","406.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/06/2016 12:00:00 AM","405.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","18/04/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","26/04/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","02/05/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","09/05/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","16/05/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","23/05/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/03/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","01/04/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/04/2016 12:00:00 AM","400.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","03/11/2015 12:00:00 AM","398.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","06/05/2016 12:00:00 AM","397.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","28/05/2016 12:00:00 AM","393.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","28/05/2016 12:00:00 AM","393.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","17/08/2015 12:00:00 AM","383.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","06/05/2016 12:00:00 AM","382.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","15/06/2016 12:00:00 AM","382.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","13/09/2015 12:00:00 AM","381.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","28/01/2016 12:00:00 AM","379.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","31/01/2016 12:00:00 AM","378.0000",
"Anthony  Deborah Robinson","","","","","Australian Liberty Alliance","08/03/2016 12:00:00 AM","377.0000",
